first_name,last_name,id_number,employment_start_date,monthly_salary,department,multisport
Jaros≥aw,Bπk,LO/408784/2010,2010-06-09,"4 617,0     ",LOGISTYKA  ,Fa≥sz
Stanis≥awa,Lewandowska,SP/897610/2014,2014-10-26,"4 960,950000000001",SPRZEDAØ,FA£SZ
Eleonora,Paw≥owska,IT/552882/2012,2012-06-28,8022.575000000001,IT ,TAK
dariusz,Grabowski  ,KA/237061/2010,2010-03-01,"5 090,2",KADRY , 
DARIUSZ,Sobczak,MA/673989/2016,2016-03-09,"5 676,528000000001",MARKETING,True
Czes≥aw,Makowski,MA/589477/2010,2010-09-17,3527.36,MARKETING  ,0
Marian,nowakowski,MA/335954/2013,2013-01-14,3451.2000000000003  ,MARKETING,Fa≥sz
Alina,kowalska,SP/749071/2015,2015-08-22,"5 630,955  ",SPRZEDAØ,true
Anna,Pietrzak,SP/557449/2013,2013-04-24,4819.5,SPRZEDAØ,Nie 
Honorata,Mazur,MA/209200/2018,2018-10-15,4905.6,MARKETING,NIE
Wojciech,Adamski,SP/777752/2017,2017/09/10,4085.4000000000005,SPRZEDAØ,1
Zygmunt,Krupa,SP/134848/2015,2015/10/11,4056.1499999999996,SPRZEDAØ,false
Julia,MALINOWSKA,SP/764182/2016,2016/03/09,3330.0,SPRZEDAØ,false
BERNARD,wasilewski,KA/807138/2011 ,2011-07-14,5916.5205000000005,KADRY,ma 
Romuald,Chmielewski,MA/352375/2015 ,,4448.0,MARKETING,Nie
Witold,Jankowski,KA/565934/2016,2016-11-14,"3 343,35",KADRY,NIE MA
Celina,Wieczorek,KS/608103/2012,2012/11/25,6672.6,KSI GOWOå∆,Prawda
Bronis≥aw,ZAKRZEWSKI,SP/347837/2009,2009-06-24,5216.475,SPRZEDAØ,true
Tomasz,Sobczak,MA/872535/2011,2011-12-11,4887.36,MARKETING,nie
JÛzef,Nowakowski,MA/393539/2009,2009-11-21,3745.6000000000004,MARKETING,FA£SZ
Przemys≥aw,Sobczak,LO/938747/2012,2012/10/06,3681.4500000000003,LOGISTYKA   ,False
,,IT/972988/2009,2009-06-24,"6 874,75",IT,0
RÛøa  ,KamiÒska ,MA/805971/2010,2010-11-06T00:00:00  ,"3 501,6000000000004",MARKETING,FA£SZ
Boles≥aw,mazur,CZ/583028/2010,2010-09-17,3178.0,,FA£SZ
,KamiÒska ,LO/450032/2016,2016-06-17,"4 668,840000000001",,True
Wioletta,Baran,SP/718241/2011,2011-09-02 ,5078.700000000001,SPRZEDAØ,1
Marta  ,Tomaszewska,KS/911184/2017,2017-01-03T00:00:00,5108.4  ,KSI GOWOå∆,False
£ucja,Nowak ,LO/427775/2017,2017-04-13,4453.110000000001,LOGISTYKA,false
S≥awomir,Zalewski,LO/896563/2010,2010-06-09,4906.440000000001,LOGISTYKA,Prawda
Witold,Zalewski,LO/228310/2009,2009-11-21  ,3396.87,LOGISTYKA,FA£SZ
Dariusz  ,Wasilewski,CZ/200403/2016,2016-04-28  ,2739.0,CZYSTOå∆,Fa≥sz
Bronis≥aw,JasiÒski,KS/827146/2015,2015/08/22,7596.6,KSI GOWOå∆,true
BERNADETA,Pawlak,MA/154798/2015,2015/11/30,"3 761,6000000000004",,NIE  
W≥adys≥awa,Tomaszewska  ,MA/597669/2012,2012/10/06 ,5955.664000000002,MARKETING,PRAWDA
Maria,Nowakowska,CZ/983739/2011,2011-10-22,"2 238,0",CZYSTOå∆  ,0
W≥adys≥aw,rutkowski,KS/502194/2013,2013-08-02,7596.6,KSI GOWOå∆,True
Maciej,Olszewski,CZ/353654/2013,2013-11-10,3010.0 ,CZYSTOå∆,False
Edward,,LO/930804/2010,2010/11/06,4191.075000000001,LOGISTYKA,False  
,baran,SP/710648/2013 ,2013-01-14,4335.0,SPRZEDAØ,
 ,szewczyk,SP/721437/2010,2010-07-29,5176.5,SPRZEDAØ,nie
Jan,Borkowski,OC/192570/2016,2016-06-17,3771.9,OCHRONA,nie ma
JERZY,Maciejewski,SP/220742/2012,2012/03/20,3367.5,SPRZEDAØ,nie ma
Rozalia,StÍpieÒ,MA/201710/2017,  ,4938.72,MARKETING,FA£SZ
Ryszard,KamiÒski,MA/594771/2018,2018-02-07,4935.040000000001,MARKETING,1
czes≥aw,Kaczmarek,MA/516866/2009,2009-10-02T00:00:00 ,3696.0,MARKETING,FA£SZ
Barbara,Nowakowska,MA/496485/2010,2010-09-17 ,3981.12,MARKETING  ,nie ma
IWONA ,Zajπc,KA/314305/2016,2016-01-19T00:00:00,3571.6650000000004,KADRY,NIE
Anna,Michalska,LO/601370/2009,2009-10-02,4380.4800000000005,LOGISTYKA,Fa≥sz
Jerzy,Kowalczyk,MA/776319/2018,2018-02-07,4641.6,MARKETING,0
Ludwik,Gajewski,SP/160308/2017,2017-12-19,"4 410,945000000001 ",SPRZEDAØ ,1
JÛzef,NOWAKOWSKI,SP/105130/2015,2015-02-03,"5 172,0",SPRZEDAØ,NIE MA
Cezary,Duda  ,KA/265152/2015,2015-03-25,"4 013,725",KADRY,nie ma
Michalina,Zajπc,SP/379479/2016,2016-06-17T00:00:00,"4 404,0",SPRZEDAØ,Nie
Mieczys≥aw,SOBCZAK,LO/807157/2012,2012-05-09,3100.9500000000003,LOGISTYKA,Fa≥sz
Aneta,StÍpieÒ,KA/790775/2012,2012/10/06,5172.97  ,KADRY,true
KAROLINA,Wieczorek ,SP/331636/2017   ,2017-09-10,4189.200000000001,SPRZEDAØ,FA£SZ
Ireneusz,Pawlak,MA/703646/2013,2013-04-24T00:00:00,5297.6,MARKETING,FA£SZ
Stefan,Soko≥owski,KA/757177/2013 ,2013-12-30,4929.155000000001,KADRY  ,ma
Alfreda,WIåNIEWSKA,KA/730484/2015,2015-05-14,5044.9400000000005,KADRY,false
Lidia,Tomaszewska,MA/336857/2015,2015-07-03  ,5046.080000000001,MARKETING,false
Micha≥,WrÛbel,MA/906201/2017,2017-12-19,3528.3199999999997,MARKETING,Fa≥sz
Wiktor,Grabowski,KS/730725/2017,2017-07-22,5273.62,KSI GOWOå∆ ,TAK
