first_name,last_name,id_number,employment_start_date,monthly_salary,department,multisport
Jerzy,Pietrzak,KS/259058/2010,2010-09-18,6432.8 zł,KSIĘGOWOŚĆ,MA
Mariola,Michalska,CZ/985370/2009,2009/10/03,"2 595,4500000000003 pln",CZYSTOŚĆ,MA
Janusz,Wysocki,SP/114420/2015,2015-03-26T00:00:00,"5 652,900000000001 PLN",SPRZEDAŻ,PRAWDA 
Ryszard,Kozłowski,MA/804204/2018,2018/10/16,4075.52 złotych,MARKETING ,nie
Wacław,zawadzki,MA-959095-2016,2016-03-10,4987.312000000001 ZŁ,MARKETING,ma
Bożena,Olszewska,SP.905790.2009 ,2009-10-03,3504.0 złotych,SPRZEDAŻ,nie
Agnieszka,Pietrzak,OC-534906-2010,2010-09-18,3528.5800000000004 PLN,OCHRONA,false
Wojciech,Sawicki,ZA/562371/2017,2017-02-23,68876.5 PLN,ZARZĄD,True
Jerzy  ,,LO_204245_2013,2013-06-14,"3 567,1185000000005 ZŁ",LOGISTYKA,Tak
witold,Tomaszewski,SP.379326.2018,2018-08-27,5195.85 złotych  ,SPRZEDAŻ,MA
Wiesława,Ostrowska,cz/427853/2017,2017-01-04,2114.4 ZŁ,CZYSTOŚĆ,false
Michał,Michalski,IT/396768/2012  ,2012-03-21,5970.250000000001 zł,IT,TAK
Lucjan,Mazur,ZA/641156/2012,2012-08-18T00:00:00,58922.5 ZŁ,ZARZĄD ,Fałsz
Edmund ,Maciejewski,KA/478019/2011,2011-09-03,3788.51 zł,KADRY,PRAWDA
wiesław,Maciejewski,KS_215049_2014,2014-07-19T00:00:00,5112.0 złotych,KSIĘGOWOŚĆ,nie ma
Małgorzata ,Szewczyk,sp/824568/2009,2009-10-03T00:00:00,3854.2350000000006 pln,SPRZEDAŻ,Prawda
Irena,Majewska ,ks/530978/2015,2015-10-12,6666.0 zł,KSIĘGOWOŚĆ,0
Mirosława    ,Jankowska,cz/970543/2017,2017-10-31,"2 434,0 PLN",CZYSTOŚĆ,NIE MA 
Leon ,Woźniak,MA/753151/2010,2010/03/02,3413.76 PLN,MARKETING,Nie
Regina,Malinowska,SP/870604/2010,2010-03-02,3175.5 PLN ,SPRZEDAŻ,0
przemysław,Lis,cz/602225/2012,2012-06-29T00:00:00,3520.4400000000005 złotych,CZYSTOŚĆ,Tak
halina,Nowak ,LO/106301/2012,2012-06-29,4297.05 PLN,LOGISTYKA,false
Cecylia,Jaworska,SP/604512/2012,2012-06-29T00:00:00,3964.5 ZŁ,SPRZEDAŻ,NIE MA
Wojciech,Walczak,KA-562510-2013,2013-03-06T00:00:00,4965.425 ZŁ,KADRY,NIE
Robert,Krupa,MA-820098-2014 ,2014-10-27T00:00:00,4113.6 zł,,nie ma
cezary,zawadzki,SP/568599/2013,2013/09/22,"3 435,6000000000004 PLN",SPRZEDAŻ,0
  ,Baran,KA/796594/2010,2010-09-18,5122.75 zł,KADRY,nie ma
Aldona,Kozłowska ,lo/718242/2010,2010-03-02,3379.05 ZŁ,LOGISTYKA,NIE MA
Sławomir,Sikora,cz/928196/2012,2012/03/21,3363.9 ZŁ ,CZYSTOŚĆ  ,0
Andrzej,Laskowski,sp/545221/2018,2018-10-16,4375.5 ZŁ,SPRZEDAŻ,False
Karol,Krupa,LO/231837/2015,2015-07-04,4284.900000000001 ZŁ,LOGISTYKA,FAŁSZ  
Aldona,Zielińska  ,KS.195148.2010,2010-06-10,"5 120,0 złotych",KSIĘGOWOŚĆ,NIE
EDWARD,Kołodziej,SP/645535/2010,2010-01-11,4527.0 pln ,SPRZEDAŻ,NIE
czesław,Kowalski,SP/408975/2014 ,2014-09-07T00:00:00,"3 643,2000000000003 PLN",SPRZEDAŻ,
regina,woźniak ,OC/665963/2014,2014-10-27,3078.3500000000004 złotych,OCHRONA  ,Nie
ZOFIA,Mazur,KA/365016/2015,2015-08-23,3567.6349999999998 pln,KADRY,Fałsz
Zenon,Szczepański,CZ-817603-2015,2015-07-04,2618.0 pln  ,CZYSTOŚĆ,FAŁSZ
Sabina ,Krawczyk,MA_324439_2013 ,2013-06-14,6149.440000000001 pln,MARKETING,PRAWDA  
Leszek,piotrowski  ,ma/531852/2014,2014-05-30T00:00:00,4763.2 złotych,MARKETING,NIE MA  
Stefan,Sadowski,LO/369006/2009 ,2009-06-25T00:00:00,4492.125 ZŁ,LOGISTYKA,false  
Iwona,Jankowska,ma/971747/2013,2013/12/31,4920.960000000001 pln ,MARKETING,True
Ludwik,Zieliński,MA/471267/2012,2012-03-21,4828.8 ZŁ,MARKETING,Nie
Wacław,Gajewski,KA/245621/2009 ,2009-08-14,5423.45 ZŁ,KADRY,nie
Katarzyna,Mazur ,MA/353341/2017,2017-10-31,5252.8 PLN  ,MARKETING,Fałsz
Eugeniusz,Rutkowski,KS/659976/2017,2017-02-23,"5 955,8 ZŁ",KSIĘGOWOŚĆ  ,false
Leon,Głowacki,MA/922484/2016 ,2016-01-20,4458.88 pln,MARKETING,0
Bogusław,,LO/845738/2011 ,2011-09-03 ,3610.3320000000003 pln,LOGISTYKA,True
Przemysław  ,Sikorski,MA/948295/2013 ,,4577.6 złotych,MARKETING,NIE
Aleksandra,Michalska,MA/881271/2017,2017/06/03,"5 338,960000000001 zł",MARKETING,TAK
Waldemar,Jakubowski,ma/394550/2012,2012-10-07,"5 547,520000000001 PLN",MARKETING,ma
Wioletta    ,Michalak,KS/756939/2013,2013/08/03,"4 292,2 PLN",KSIĘGOWOŚĆ,FAŁSZ
Alicja,tomaszewska,KA/339109/2010,2010/12/27 ,5220.710000000001 zł,KADRY,PRAWDA
Franciszek,Tomaszewski,CZ/346925/2017,2017-09-11T00:00:00,2636.15 pln,CZYSTOŚĆ,Tak
Zenon  ,Tomaszewski,cz/603180/2017,2017-10-31T00:00:00  ,"2 341,0 złotych",CZYSTOŚĆ,FAŁSZ
JACEK,Głowacki,KA/210742/2009,2009-10-03,5946.869500000001 zł,KADRY,Tak
waldemar,Woźniak,KS/116357/2015 ,2015-03-26,6134.2 złotych,KSIĘGOWOŚĆ,False
Ewa,Zielińska,ZA/274613/2013,2013-09-22,76025.0 złotych,ZARZĄD,nie
Leszek,Laskowski,ka/558123/2013 ,2013-08-03T00:00:00,4161.905000000001 złotych,KADRY,PRAWDA
Roman,Nowicki,MA/367617/2012,2012-08-18,5492.8 ZŁ ,MARKETING,nie ma
WANDA,kamińska,ka/979139/2010,2010-01-11,3854.834500000001 PLN,KADRY,TAK
Ilona,Ostrowska ,MA.218782.2018,2018-08-27,4407.040000000001 ZŁ,MARKETING,TAK
Romuald ,Nowicki ,MA-203206-2013 ,2013-06-14,3999.6800000000003 zł,MARKETING,false
cecylia,Król ,LO/888024/2013  ,2013-06-14,3957.0795000000003 złotych,LOGISTYKA,MA
Irena  ,Kowalska,SP.258084.2018,2018-03-30,5133.75 ZŁ,SPRZEDAŻ,Fałsz
Zbigniew ,Kalinowski,KA/661511/2010,2010-03-02,5062.827000000001 ZŁ,KADRY,ma
Janusz,Michalski,SP_276198_2015,2015-03-26,3957.1499999999996 PLN,SPRZEDAŻ,nie ma
Zdzisław,Olszewski    ,ks/880169/2012,2012-10-07,6194.0 złotych,KSIĘGOWOŚĆ,Nie
Wanda,Szymańska,SP/256850/2011,2011-09-03,3322.0499999999997 PLN,SPRZEDAŻ,NIE
Jadwiga,Michalak,cz/470823/2011 ,2011-09-03,3628.9 pln,CZYSTOŚĆ,TAK
,Pawlak,SP/968031/2012,2012/11/26,4821.0 złotych,SPRZEDAŻ,0
Stanisława,Nowak,ka/935648/2014  ,2014-12-16,4532.2 zł,KADRY,0
Alojzy,Baran  ,LO-457589-2013,2013-03-06,3328.425 pln,LOGISTYKA,false
Jan,Borkowski ,KS_417359_2010,2010/11/07,7627.400000000001 zł,KSIĘGOWOŚĆ,PRAWDA
Andrzej,Zieliński,KS/275700/2013,2013-01-15,5968.6 zł,KSIĘGOWOŚĆ,MA
Natalia,Sikora,LO-291317-2010,2010-01-11,3983.445 PLN  ,LOGISTYKA,False 
